track_id,playlist_id
6f807x0ima9a1j3VPbc7VN,37i9dQZF1DXcZDD7cfEKhW
0r7CVbZTWZgbTCYdfa2P31,37i9dQZF1DXcZDD7cfEKhW
1z1Hg7Vb0AhHDiEmnDE79l,37i9dQZF1DXcZDD7cfEKhW
75FpbthrwQmzHlBJLuGdC7,37i9dQZF1DXcZDD7cfEKhW
1e8PAfcKUYoKkxPhrHqw4x,37i9dQZF1DXcZDD7cfEKhW
7fvUMiyapMsRRxr07cU8Ef,37i9dQZF1DXcZDD7cfEKhW
2OAylPUDDfwRGfe0lYqlCQ,37i9dQZF1DXcZDD7cfEKhW
6b1RNvAcJjQH73eZO4BLAB,37i9dQZF1DXcZDD7cfEKhW
7bF6tCO3gFb8INrEDcjNT5,37i9dQZF1DXcZDD7cfEKhW
1IXGILkPm0tOCNeq00kCPa,37i9dQZF1DXcZDD7cfEKhW
3eFJI470ALf1EYjywPRsJy,37i9dQZF1DXcZDD7cfEKhW
3iJeF2izF1QcpCgUc97BLl,37i9dQZF1DXcZDD7cfEKhW
6e0CvGZf7CouOpYF8toXHC,37i9dQZF1DXcZDD7cfEKhW
3eLdNmnRWr9gIyBcqTSSti,37i9dQZF1DXcZDD7cfEKhW
55nMnifaQWKe3f9cbwOXwx,37i9dQZF1DXcZDD7cfEKhW
1EJgymgJHcjSOGSHcYaxvW,37i9dQZF1DXcZDD7cfEKhW
5WaXMQMlQpq8pwIdaFP43L,37i9dQZF1DXcZDD7cfEKhW
3TjLsDgL0bTbSQIF6M5Ki8,37i9dQZF1DXcZDD7cfEKhW
0GfS3y8Jd7SHWd9R51s7Fo,37i9dQZF1DXcZDD7cfEKhW
2v3DuCVBbopteJqdM7aKQK,37i9dQZF1DXcZDD7cfEKhW
4QAUGy6k7c3IOAhgWz52r7,37i9dQZF1DXcZDD7cfEKhW
3Ciaf6WgvG95TGRGxQ1yO8,37i9dQZF1DXcZDD7cfEKhW
1mC2UjWt25Oixtqu7C6suL,37i9dQZF1DXcZDD7cfEKhW
2wenGTypSYHXl1sN1pNC7X,37i9dQZF1DXcZDD7cfEKhW
4sqABRRGU7CzcHXCyxUzFw,37i9dQZF1DXcZDD7cfEKhW
5dy3WUywjZcalTno1io8TQ,37i9dQZF1DXcZDD7cfEKhW
2M9GeaCQXrV12J0wzBxIwi,37i9dQZF1DXcZDD7cfEKhW
1zzOMDmkRZy0g9f4JTAZKn,37i9dQZF1DXcZDD7cfEKhW
4OFFY6L5ywYM1TwhXX69wQ,37i9dQZF1DXcZDD7cfEKhW
1hr5Y2i4NlE3LPvQZ9Q5Ao,37i9dQZF1DXcZDD7cfEKhW
1aT7vltGhkjyMI3F3aO3A4,37i9dQZF1DXcZDD7cfEKhW
4YaU1EjXIkdRdkOI4cCZys,37i9dQZF1DXcZDD7cfEKhW
0Fc9QSMX6fgEBgDjUax7t7,37i9dQZF1DXcZDD7cfEKhW
7AasLZ4TYgh7dbJXZxcZVE,37i9dQZF1DXcZDD7cfEKhW
7p4jpmyBnOpqQ3rSGJzZ7w,37i9dQZF1DXcZDD7cfEKhW
4sLtguRBis05qfsBgJ1IdN,37i9dQZF1DXcZDD7cfEKhW
508lUjbGcPrL0CfvHC7UvI,37i9dQZF1DXcZDD7cfEKhW
7FDaS1k08rwMoAThmzUkOZ,37i9dQZF1DXcZDD7cfEKhW
6m8SIT10j41SPpPFOknTmP,37i9dQZF1DXcZDD7cfEKhW
5Vwgf4MVO0vLv8fbxaGGiW,37i9dQZF1DXcZDD7cfEKhW
5scxjvcdozadBoRRN0UMaM,37i9dQZF1DXcZDD7cfEKhW
6oJ6le65B3SEqPwMRNXWjY,37i9dQZF1DXcZDD7cfEKhW
2tilX6FUl0IwFgiOYjuc6V,37i9dQZF1DXcZDD7cfEKhW
3yNZ5r3LKfdmjoS3gkhUCT,37i9dQZF1DXcZDD7cfEKhW
478QYNLw6dhTTx4oEkhBeq,37i9dQZF1DXcZDD7cfEKhW
3C4fzUgIP3ahkhOBdP38GM,37i9dQZF1DXcZDD7cfEKhW
2k4c9ZAlIYHyXiJ4i20FO7,37i9dQZF1DXcZDD7cfEKhW
79zGYOcAe2VmJsyQiJX31a,37i9dQZF1DXcZDD7cfEKhW
6B2NRQjtSOtqi67d72r5cx,37i9dQZF1DXcZDD7cfEKhW
08rBIlTMXlF5uEHobZglxv,37i9dQZF1DXcZDD7cfEKhW
1BmdqDrBU5eohtRwHBls6C,37i9dQZF1DXcZDD7cfEKhW
5rxKInBVj0QE87KenyDiLf,37i9dQZF1DXcZDD7cfEKhW
3kgKVcBpBGuSeaEC0AZGlb,37i9dQZF1DXcZDD7cfEKhW
5qCrT9lVmIGxqB8i6bb83P,37i9dQZF1DXcZDD7cfEKhW
3Lv3frZVXU7Q0JEFvLIzWW,37i9dQZF1DXcZDD7cfEKhW
2bZYJvVRN5EqIvAUFhUNls,37i9dQZF1DXcZDD7cfEKhW
3utdq3dPLVD4r7Vv9BnCAI,37i9dQZF1DXcZDD7cfEKhW
1ppOGANOzMT01Cxh9jx4hN,37i9dQZF1DXcZDD7cfEKhW
5Shjuje8PRcX7ueEVajrLH,37i9dQZF1DXcZDD7cfEKhW
6wKJjrWWP4qpzYbE8oQkc4,37i9dQZF1DXcZDD7cfEKhW
6EDH26ppl7R8oV4tGilCkS,37i9dQZF1DXcZDD7cfEKhW
4RaN7556EogBfF80klMEX2,37i9dQZF1DXcZDD7cfEKhW
1nwoWaqzB30bD4IPqRNuex,37i9dQZF1DXcZDD7cfEKhW
4fDBElPGDqZQ3rJorZTm2w,37i9dQZF1DXcZDD7cfEKhW
6AZ21kPj2a0INgf3uCviVu,37i9dQZF1DXcZDD7cfEKhW
3uXHSf9sSIpOJWuC1H8DiU,37i9dQZF1DXcZDD7cfEKhW
4Q9iBGT9b9CVTtDwsgQWnl,37i9dQZF1DXcZDD7cfEKhW
6LCsZ8ARrIq0n9nr6gM2ru,37i9dQZF1DXcZDD7cfEKhW
27F9FlipD657qYRQT3qxFm,37i9dQZF1DXcZDD7cfEKhW
6B9cqNooxIyPfr3P5EB8LA,37i9dQZF1DXcZDD7cfEKhW
05CwHjIk71RXVU40boRMnR,37i9dQZF1DWZQaaqNMbbXa
0qc4QlcCxVTGyShurEv1UU,37i9dQZF1DWZQaaqNMbbXa
